uri,url,error
http://data.bibliotheken.nl/doc/nbt/p296292575,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C611184,empty graph
http://data.bibliotheken.nl/doc/nbt/p296297852,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C611187,empty graph
http://data.bibliotheken.nl/doc/nbt/p296351482,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C615795,empty graph
http://data.bibliotheken.nl/doc/nbt/p29653885X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C618935,empty graph
http://data.bibliotheken.nl/doc/nbt/p296597597,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C619884,empty graph
http://data.bibliotheken.nl/doc/nbt/p296622222,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C620305,empty graph
http://data.bibliotheken.nl/doc/nbt/p296622346,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C620304,empty graph
http://data.bibliotheken.nl/doc/nbt/p296701327,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C620841,empty graph
http://data.bibliotheken.nl/doc/nbt/p296706701,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C620836,empty graph
http://data.bibliotheken.nl/doc/nbt/p296825670,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C621888,empty graph
http://data.bibliotheken.nl/doc/nbt/p29731212X,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C647473,empty graph
http://data.bibliotheken.nl/doc/nbt/p297344722,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C633352,empty graph
http://data.bibliotheken.nl/doc/nbt/p297349392,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C631900,empty graph
http://data.bibliotheken.nl/doc/nbt/p297791931,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638472,empty graph
http://data.bibliotheken.nl/doc/nbt/p297853783,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638922,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297853783,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638922,empty graph
http://data.bibliotheken.nl/doc/nbt/p297854321,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638638,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297854321,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638638,empty graph
http://data.bibliotheken.nl/doc/nbt/p297854534,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638639,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297854534,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C638639,empty graph
http://data.bibliotheken.nl/doc/nbt/p297855751,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639094,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297855751,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639094,empty graph
http://data.bibliotheken.nl/doc/nbt/p297866850,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639514,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297866850,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639514,empty graph
http://data.bibliotheken.nl/doc/nbt/p297872753,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C650180,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297872753,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C650180,empty graph
http://data.bibliotheken.nl/doc/nbt/p297872842,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656444,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297872842,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C656444,empty graph
http://data.bibliotheken.nl/doc/nbt/p297872966,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C652989,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297872966,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C652989,empty graph
http://data.bibliotheken.nl/doc/nbt/p297873016,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C640599,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297873016,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C640599,empty graph
http://data.bibliotheken.nl/doc/nbt/p297873342,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C640600,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297873342,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C640600,empty graph
http://data.bibliotheken.nl/doc/nbt/p297873385,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C650184,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297873385,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C650184,empty graph
http://data.bibliotheken.nl/doc/nbt/p297873482,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639511,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297873482,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639511,empty graph
http://data.bibliotheken.nl/doc/nbt/p297873571,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C653555,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297873571,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C653555,empty graph
http://data.bibliotheken.nl/doc/nbt/p297874098,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C751312,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297874098,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C751312,empty graph
http://data.bibliotheken.nl/doc/nbt/p297886304,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639263,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297886304,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C639263,empty graph
http://data.bibliotheken.nl/doc/nbt/p297891014,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C769985,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297891014,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C769985,empty graph
http://data.bibliotheken.nl/doc/nbt/p297892789,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C640781,HTTP Error 500: Internal Server Error
http://data.bibliotheken.nl/doc/nbt/p297892789,https://zoeken.oba.nl/detail/?itemid=%7Coba-catalogus%7C640781,empty graph
